 0.000e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 5.000e-02 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.000e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.500e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 2.000e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 2.500e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 3.000e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 3.500e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 4.000e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 4.500e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 5.000e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 5.500e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 6.000e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 6.500e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 7.000e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 7.500e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 8.000e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 8.500e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 9.000e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 9.500e-01 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.000e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.050e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.100e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.150e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.200e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.250e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.300e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.350e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.400e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.450e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.500e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.550e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.600e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.650e+00 1.1591e+01 2.2051e-06 0.0000e+00 0.0000e+00
 1.700e+00 1.1591e+01 2.2052e-06 0.0000e+00 0.0000e+00
 1.750e+00 1.1591e+01 2.2052e-06 0.0000e+00 0.0000e+00
 1.800e+00 1.1591e+01 2.2052e-06 0.0000e+00 0.0000e+00
 1.850e+00 1.1591e+01 2.2052e-06 0.0000e+00 0.0000e+00
 1.900e+00 1.1591e+01 2.2052e-06 0.0000e+00 0.0000e+00
 1.950e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.000e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.050e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.100e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.150e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.200e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.250e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.300e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.350e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.400e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.450e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.500e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.550e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.600e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.650e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.700e+00 1.1590e+01 2.2052e-06 0.0000e+00 0.0000e+00
 2.750e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 2.800e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 2.850e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 2.900e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 2.950e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.000e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.050e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.100e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.150e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.200e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.250e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.300e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.350e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.400e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.450e+00 1.1590e+01 2.2053e-06 0.0000e+00 0.0000e+00
 3.500e+00 1.1590e+01 2.2054e-06 0.0000e+00 0.0000e+00
 3.550e+00 1.1590e+01 2.2054e-06 0.0000e+00 0.0000e+00
 3.600e+00 1.1590e+01 2.2054e-06 0.0000e+00 0.0000e+00
 3.650e+00 1.1590e+01 2.2054e-06 0.0000e+00 0.0000e+00
 3.700e+00 1.1590e+01 2.2054e-06 0.0000e+00 0.0000e+00
 3.750e+00 1.1590e+01 2.2054e-06 0.0000e+00 0.0000e+00
 3.800e+00 1.1590e+01 2.2054e-06 0.0000e+00 0.0000e+00
